model,prompt,macro_avg,majority_class,majority_baseline,support_caesar,support_atbash,support_vigenere,support_rot13,support_rail_fence,support_reverse,support_base64,support_morse,support_bacon,recall_caesar,recall_atbash,recall_vigenere,recall_rot13,recall_rail_fence,recall_reverse,recall_base64,recall_morse,recall_bacon
claude-sonnet,baseline,0.8462,caesar,0.2143,294,98,294,98,196,98,98,98,98,0.8912,0.9388,0.9184,1.0,0.949,0.898,0.8469,0.1735,1.0
claude-sonnet,choices,0.9492,caesar,0.2143,294,98,294,98,196,98,98,98,98,0.7041,0.949,0.9252,1.0,0.9745,1.0,1.0,0.9898,1.0
claude-sonnet,cot,0.6948,caesar,0.2143,294,98,294,98,196,98,98,98,98,0.9116,0.6837,0.6837,0.4082,0.8929,0.8673,0.7857,0.102,0.9184
deepseek-r1,baseline,0.7281,caesar,0.2143,294,98,294,98,196,98,98,98,98,0.8333,0.6633,0.102,0.3878,0.6888,0.9082,1.0,1.0,0.9694
deepseek-r1,choices,0.5249,caesar,0.2143,294,98,294,98,196,98,98,98,98,0.6565,0.398,0.0374,0.3673,0.3367,0.7041,0.6429,0.9184,0.6633
deepseek-r1,cot,0.6871,caesar,0.2143,294,98,294,98,196,98,98,98,98,0.8673,0.5714,0.1224,0.2347,0.6224,0.9796,0.949,1.0,0.8367
gpt-4o,baseline,0.794,caesar,0.2143,294,98,294,98,196,98,98,98,98,0.6497,0.9184,0.8639,0.949,0.2449,0.5306,1.0,0.9898,1.0
gpt-4o,choices,0.833,caesar,0.2143,294,98,294,98,196,98,98,98,98,0.6803,1.0,0.8163,1.0,0.0,1.0,1.0,1.0,1.0
gpt-4o,cot,0.3322,caesar,0.2143,294,98,294,98,196,98,98,98,98,0.1973,0.051,0.0068,0.1429,0.0,0.4388,0.6531,0.9592,0.5408
llama-3.3-70b,baseline,0.6446,caesar,0.2143,294,98,294,98,196,98,98,98,98,0.0986,0.7143,0.983,1.0,0.0357,0.9694,1.0,1.0,0.0
llama-3.3-70b,choices,0.6931,caesar,0.2143,294,98,294,98,196,98,98,98,98,0.0,0.5612,0.2993,1.0,0.3776,1.0,1.0,1.0,1.0
llama-3.3-70b,cot,0.4579,caesar,0.2143,294,98,294,98,196,98,98,98,98,0.9252,0.0102,0.0272,0.1939,0.2602,0.8878,0.7653,0.9796,0.0714
